Winner,Player1,Player2,MatchID,Generation,Replay_Name,
Guest 7521,Unite4320,Kingblocky,1.70027E+12,[Gen 7] IF Dex OU,unite4320-kingblocky-1700269245974,
the_shawdoin,crimsonpath899,the_shawdoin,1.70027E+12,[Gen 9] IF NatDex OU,crimsonpath899-theshawdoin-1700269280760,
the_shawdoin,the_shawdoin,kardigan,1.70027E+12,[Gen 9] IF NatDex OU,theshawdoin-kardigan-1700269908566,
HUEnd,Leolio92,HUEnd,1.70027E+12,[Gen 7] IF Dex AG,leolio92-huend-1700269963089,
TotalSylv,TotalSylv,Dirt Donut,1.70027E+12,[Gen 7] IF Dex OU,totalsylv-dirtdonut-1700270169859,
solarialmp4,solarialmp4,PorygodOfSeizures,1.70027E+12,[Gen 7] IF Dex OU,solarialmp4-porygodofseizures-1700270286730,
Guest 7521,TotalSylv,Bazinga386,1.70027E+12,[Gen 7] IF Dex OU,totalsylv-bazinga386-1700270794484,
Staros,Dirt Donut,Staros,1.70027E+12,[Gen 7] IF Dex OU,dirtdonut-staros-1700271328006,
sylvee_kiwi,sylvee_kiwi,rengues,1.70027E+12,[Gen 7] IF Dex Doubles,sylveekiwi-rengues-1700272023602,
Jearo,Jearo,vJulius6ix,1.70027E+12,[Gen 9] IF NatDex AG,jearo-vjulius6ix-1700272291872,
waflare,waflare,Walccer,1.70027E+12,[Gen 7] IF Dex OU,waflare-walccer-1700272451584,
Clevernamegoeshere,Clevernamegoeshere,EmacSans,1.70027E+12,[Gen 7] IF Dex AG,clevernamegoeshere-emacsans-1700272597537,
vJulius6ix,vJulius6ix,Jearo,1.70027E+12,[Gen 9] IF NatDex AG,vjulius6ix-jearo-1700272877888,
Xenr1a,Xenr1a,Voided Existence,1.70027E+12,[Gen 7] IF Dex AG,xenr1a-voidedexistence-1700273060658,
Voided Existence,Voided Existence,Xenr1a,1.70027E+12,[Gen 7] IF Dex AG,voidedexistence-xenr1a-1700273788394,
waflare,waflare,DanDimmadan,1.70027E+12,[Gen 7] IF Dex OU,waflare-dandimmadan-1700274048269,
HiveMindJester,AngeryLizard,HiveMindJester,1.70028E+12,[Gen 9] IF NatDex AG,angerylizard-hivemindjester-1700275760900,
waflare,waflare,Utah Weez,1.70028E+12,[Gen 7] IF Dex OU,waflare-utahweez-1700276081479,
fupizza,FusionKolusion,Dirt Donut,1.70028E+12,[Gen 7] IF Dex OU,fusionkolusion-dirtdonut-1700276527299,
AnkleusRemovicus,PigPlayzll,AnkleusRemovicus,1.70028E+12,[Gen 7] IF Dex AG,pigplayzll-ankleusremovicus-1700278832413,
Staros,Staros,CEOofGenesect,1.70028E+12,[Gen 7] IF Dex OU,staros-ceoofgenesect-1700279205514,
TheLigmaConspiracy,TheLigmaConspiracy,KnilkTeamWild,1.70028E+12,[Gen 7] IF Dex OU,theligmaconspiracy-knilkteamwild-1700279445110,
fupizza,striker212,fupizza,1.70028E+12,[Gen 7] IF Dex OU,striker212-fupizza-1700279934275,
DynaTheCryo,DynaTheCryo,Dirt Donut,1.70028E+12,[Gen 7] IF Dex OU,dynathecryo-dirtdonut-1700279936211,
F0157,F0157,2eqw,1.70028E+12,[Gen 7] IF Dex AG,f0157-2eqw-1700280537995,
fupizza,Yukinarakami,fupizza,1.70028E+12,[Gen 7] IF Dex OU,yukinarakami-fupizza-1700281064857,
MagmaCubeBuddyTard,MagmaCubeBuddyTard,The Daninator,1.70028E+12,[Gen 7] IF Dex AG,magmacubebuddytard-thedaninator-1700282309518,
Sabersmoris,Sabersmoris,Camoark,1.70028E+12,[Gen 9] IF NatDex AG,sabersmoris-camoark-1700282486627,
frokathan,solarialmp4,frokathan,1.70028E+12,[Gen 7] IF Dex OU,solarialmp4-frokathan-1700283647069,
Tuesty,Tuesty,TheusinEX,1.70028E+12,[Gen 9] IF NatDex OU,tuesty-theusinex-1700283938071,
HiveMindJester,HiveMindJester,dinoblasters123,1.70029E+12,[Gen 9] IF NatDex AG,hivemindjester-dinoblasters123-1700286193872,
Male Lover,The Real Ignite,Male Lover,1.70029E+12,[Gen 7] IF Dex OU,therealignite-malelover-1700286928008,
Augodyne,Augodyne,frokathan,1.70029E+12,[Gen 7] IF Dex OU,augodyne-frokathan-1700287460156,
frokathan,Augodyne,frokathan,1.70029E+12,[Gen 7] IF Dex OU,augodyne-frokathan-1700288444835,
PizzaTowerEpic,Vic6430,PizzaTowerEpic,1.70029E+12,[Gen 9] IF Custom Game,vic6430-pizzatowerepic-1700289923018,
Augodyne,Augodyne,Vic6430,1.70029E+12,[Gen 9] IF NatDex AG,augodyne-vic6430-1700290132692,
drakonos2,drakonos2,SvartrKuldr,1.70029E+12,[Gen 7] IF Dex AG,drakonos2-svartrkuldr-1700290554149,
